p_post_scl_qualf_grad_dip_grad_certificate_pr100, p_post_scl_qualf_inadequately_described_ns_pr100, p_post_scl_qualf_adv_dip_dip_pr100, yr, p_post_scl_qualf_postgrad_degree_pr100, lga_code18, p_post_scl_qualf_bachelor_degree_pr100, p_post_scl_qualf_certificate_pr100, p_post_scl_qualf_p_post_scl_qualification_pr100, lga_name18
1.6,18.9,7.8,"2016",1.0,"20260",7.6,19.3,56.4,"Ararat (RC)"
1.4,9.3,9.0,"2016",2.9,"23270",10.5,18.1,51.0,"Hume (C)"
3.1,14.1,10.2,"2016",4.1,"22910",12.6,19.5,63.6,"Hepburn (S)"
1.0,9.9,8.6,"2016",3.6,"22670",11.9,13.6,48.6,"Greater Dandenong (C)"
1.8,12.2,9.0,"2016",1.4,"26670",8.1,25.6,58.1,"Towong (S)"
1.9,30.0,8.6,"2016",2.9,"29399",13.7,16.9,73.1,"Unincorporated Vic"
1.1,14.2,7.4,"2016",0.7,"27630",6.4,20.9,50.8,"Yarriambiack (S)"
2.2,12.3,9.3,"2016",1.8,"26700",10.1,22.5,58.1,"Wangaratta (RC)"
1.2,11.6,6.8,"2016",1.0,"22980",6.9,19.9,47.4,"Hindmarsh (S)"
1.3,13.7,7.2,"2016",0.9,"24900",6.4,22.3,51.8,"Moira (S)"
1.7,9.4,10.0,"2016",2.2,"21450",9.8,25.3,58.5,"Cardinia (S)"
4.5,11.2,7.7,"2016",12.5,"27350",31.2,8.1,75.1,"Yarra (C)"
2.8,7.8,9.7,"2016",7.4,"24210",22.1,12.1,61.9,"Manningham (C)"
1.9,13.0,7.7,"2016",1.8,"22830",8.5,19.9,52.8,"Greater Shepparton (C)"
2.6,8.1,9.3,"2016",9.6,"24970",22.6,10.4,62.6,"Monash (C)"
2.2,11.7,8.3,"2016",2.1,"26730",11.4,21.2,56.7,"Warrnambool (C)"
2.0,10.2,9.7,"2016",1.9,"27170",9.2,25.3,58.3,"Wodonga (C)"
