median_age_of_earners_years_2014_15, income_aud_2014_15, median_aud_2014_15, earners_persons_2014_15,city_name, mean_aud_2014_15
38,132662145052,47335,2304322,Melbourne,57571
43,2785159856,43852,52840,Ballarat,52709
43,6837365376,44227,124458,Geelong,54937
44,2978455982,43196,58366,Bendigo,51031
39,3528116040,48081,66160,Melton,53327
